ID	X	Y	DISTANCIA	TEMPO_BUS	TEMPO_CARRO	PRECO_BUS	PRECO_CARRO	RENDA	ESCOLHA	Prob_1_RedesNeurais
33	5.75	0.4	2.23	4.68	3.34	1.5	1.9	5	0	0.001
34	8.25	0.4	3.87	8.38	5.8	3	3.29	8	1	0.998
35	8.5	0.4	4.08	8.73	6.12	3	3.47	9	1	0.997
36	8.75	0.4	4.3	9.09	6.45	3	3.65	9	1	0.996
37	1.25	0.45	4.27	9.05	6.41	3	3.63	6	1	0.998
38	1.5	0.45	4.06	8.69	6.08	3	3.45	6	1	0.998
39	1.75	0.45	3.84	8.34	5.76	3	3.27	6	1	0.998
40	4.25	0.45	2.18	4.6	3.27	1.5	1.86	4	0	0
41	4.5	0.45	2.11	4.48	3.17	1.5	1.79	4	0	0
42	4.75	0.45	2.07	4.41	3.1	1.5	1.76	4	0	0
43	5.25	0.45	2.07	4.41	3.1	1.5	1.76	4	0	0
44	5.5	0.45	2.11	4.48	3.17	1.5	1.79	4	0	0
45	5.75	0.45	2.18	4.6	3.27	1.5	1.86	5	0	0.008
46	8.25	0.45	3.84	8.34	5.76	3	3.27	8	1	0.998
47	8.5	0.45	4.06	8.69	6.08	3	3.45	9	1	0.997
48	8.75	0.45	4.27	9.05	6.41	3	3.63	9	1	0.996
49	1.25	0.5	4.25	9.01	6.38	3	3.61	6	1	0.998
50	1.5	0.5	4.03	8.65	6.05	3	3.43	6	1	0.998
51	1.75	0.5	3.82	8.3	5.72	3	3.24	6	1	0.998
52	4.25	0.5	2.14	4.52	3.2	1.5	1.82	4	0	0
53	4.5	0.5	2.06	4.4	3.09	1.5	1.75	4	0	0
54	4.75	0.5	2.02	4.33	3.02	1.5	1.71	4	0	0
55	1.25	0.55	4.23	8.97	6.34	3	3.59	6	1	0.998
56	1.5	0.55	4.01	8.61	6.01	3	3.41	6	1	0.998
57	1.75	0.55	3.79	8.25	5.69	3	3.22	6	0	0.998
58	2.25	0.55	3.37	7.56	5.06	3	2.87	6	1	0.998
59	2.5	0.55	3.17	7.23	4.76	3	2.69	6	1	0.999
60	2.75	0.55	2.98	5.91	4.47	1.5	2.53	4	0	0
61	4.25	0.55	2.09	4.45	3.13	1.5	1.78	4	0	0
62	4.5	0.55	2.01	4.32	3.02	1.5	1.71	4	0	0
63	4.75	0.55	1.97	4.24	2.95	1.5	1.67	4	0	0
64	2.25	0.6	3.34	7.52	5.01	3	2.84	6	1	0.998
65	2.5	0.6	3.14	7.18	4.71	3	2.67	6	1	0.999
66	2.75	0.6	2.94	5.86	4.42	1.5	2.5	4	0	0
67	8.75	0.6	4.2	8.94	6.31	3	3.57	9	1	0.997
68	9	0.6	4.43	9.31	6.64	3	3.76	9	1	0.996
69	9.25	0.6	4.66	9.68	6.98	3	3.96	9	1	0.994
70	2.25	0.65	3.31	7.47	4.97	3	2.82	6	1	0.998
71	2.5	0.65	3.11	7.13	4.67	3	2.64	6	1	0.999
72	2.75	0.65	2.91	5.81	4.37	1.5	2.48	4	0	0
73	8.75	0.65	4.18	8.9	6.27	3	3.55	9	1	0.997
74	9	0.65	4.41	9.27	6.61	3	3.75	9	1	0.996
75	9.25	0.65	4.64	9.65	6.95	3	3.94	9	1	0.994
76	8.75	0.7	4.16	8.86	6.24	3	3.54	9	1	0.997
77	9	0.7	4.39	9.24	6.58	3	3.73	9	1	0.996
78	9.25	0.7	4.62	9.62	6.92	3	3.92	9	1	0.994
79	8.75	0.75	4.14	8.83	6.21	3	3.52	9	1	0.997
80	9	0.75	4.37	9.2	6.55	3	3.71	9	1	0.996
81	9.25	0.75	4.6	9.58	6.89	3	3.91	9	1	0.995
82	7.25	0.85	2.79	5.6	4.19	1.5	2.37	6	0	0
83	7.5	0.85	3	5.94	4.49	1.5	2.55	6	0	0
84	7.75	0.85	3.21	7.29	4.81	3	2.73	8	1	0.998
85	7.25	0.9	2.76	5.56	4.14	1.5	2.35	6	0	0
86	7.5	0.9	2.97	5.9	4.45	1.5	2.52	6	0	0
87	7.75	0.9	3.18	7.25	4.77	3	2.7	8	1	0.998
88	0	0.95	5.23	10.64	7.85	3	4.45	6	1	0.997
89	0.25	0.95	5	10.24	7.49	3	4.25	6	1	0.997
90	4.25	0.95	1.72	3.84	2.58	1.5	1.46	4	0	0
91	4.5	0.95	1.63	3.69	2.44	1.5	1.38	4	0	0.001
92	4.75	0.95	1.57	3.59	2.36	1.5	1.33	4	0	0.002
93	7.25	0.95	2.73	5.51	4.1	1.5	2.32	6	0	0
94	7.5	0.95	2.94	5.85	4.41	1.5	2.5	6	0	0
95	7.75	0.95	3.16	7.21	4.74	3	2.68	8	1	0.998
96	8.75	0.95	4.06	8.7	6.09	3	3.45	9	1	0.997
97	9	0.95	4.29	9.08	6.43	3	3.65	9	1	0.996
98	9.25	0.95	4.52	9.46	6.79	3	3.85	9	1	0.995
99	0	1	5.22	10.61	7.83	3	4.44	9	1	0.988
100	0.25	1	4.98	10.22	7.47	3	4.23	6	1	0.997
101	4.25	1	1.68	3.77	2.52	1.5	1.43	4	0	0
102	4.5	1	1.58	3.61	2.37	1.5	1.34	4	0	0.002
103	4.75	1	1.52	3.51	2.28	1.5	1.29	4	0	0.003
104	8.75	1	4.04	8.66	6.06	3	3.43	9	1	0.997
105	9	1	4.27	9.05	6.41	3	3.63	9	1	0.996
106	9.25	1	4.51	9.44	6.76	3	3.83	9	1	0.995
107	0	1.05	5.21	10.59	7.81	3	4.43	6	1	0.997
108	0.25	1.05	4.97	10.19	7.45	3	4.22	6	1	0.997
109	4.25	1.05	1.63	3.69	2.45	1.5	1.39	4	0	0.001
110	4.5	1.05	1.53	3.53	2.3	1.5	1.3	4	0	0.003
111	4.75	1.05	1.47	3.43	2.21	1.5	1.25	4	0	0.004
112	5.75	1.05	1.63	3.69	2.45	1.5	1.39	4	0	0.001
113	6	1.05	1.76	3.91	2.64	1.5	1.5	4	0	0
114	6.25	1.05	1.91	4.16	2.87	1.5	1.63	5	0	0.372
115	8.75	1.05	4.02	8.63	6.03	3	3.42	9	1	0.997
116	9	1.05	4.25	9.02	6.38	3	3.62	9	1	0.996
117	9.25	1.05	4.49	9.41	6.74	3	3.82	9	1	0.995
118	5.75	1.1	1.59	3.62	2.38	1.5	1.35	4	0	0.002
119	6	1.1	1.72	3.84	2.58	1.5	1.46	4	0	0
120	6.25	1.1	1.88	4.1	2.82	1.5	1.6	5	0	0.401
121	5.75	1.15	1.54	3.55	2.32	1.5	1.31	4	0	0.003
122	6	1.15	1.68	3.77	2.52	1.5	1.43	4	0	0
123	6.25	1.15	1.84	4.04	2.76	1.5	1.56	5	0	0.427
124	6.75	1.2	2.18	4.6	3.27	1.5	1.85	5	0	0.009
125	7	1.2	2.39	4.94	3.58	1.5	2.03	5	0	0
126	7.25	1.2	2.6	5.29	3.9	1.5	2.21	5	0	0
127	6.75	1.25	2.15	4.55	3.23	1.5	1.83	5	0	0.025
128	7	1.25	2.36	4.89	3.54	1.5	2	5	0	0
129	7.25	1.25	2.57	5.25	3.86	1.5	2.19	5	0	0
130	6.75	1.3	2.12	4.5	3.18	1.5	1.8	5	0	0.054
131	7	1.3	2.33	4.85	3.5	1.5	1.98	5	0	0
132	7.25	1.3	2.55	5.21	3.83	1.5	2.17	5	0	0
133	3.25	1.35	2.09	4.46	3.14	1.5	1.78	4	0	0
134	3.5	1.35	1.89	4.12	2.84	1.5	1.61	4	0	0
135	3.75	1.35	1.7	3.8	2.55	1.5	1.44	4	0	0
136	6.75	1.35	2.09	4.46	3.14	1.5	1.78	5	0	0.098
137	7	1.35	2.31	4.81	3.46	1.5	1.96	5	0	0
138	7.25	1.35	2.53	5.17	3.79	1.5	2.15	5	0	0
139	3.25	1.4	2.07	4.41	3.1	1.5	1.76	4	0	0
140	3.5	1.4	1.86	4.07	2.79	1.5	1.58	4	0	0
141	3.75	1.4	1.67	3.75	2.5	1.5	1.42	4	0	0.001
142	3.25	1.45	2.04	4.37	3.06	1.5	1.73	4	0	0
143	3.5	1.45	1.83	4.02	2.75	1.5	1.56	4	0	0
144	3.75	1.45	1.63	3.69	2.45	1.5	1.39	4	0	0.001
145	0.75	1.65	4.33	9.15	6.5	3	3.68	6	1	0.998
146	1	1.65	4.09	8.75	6.13	3	3.48	6	1	0.998
147	1.25	1.65	3.85	8.34	5.77	3	3.27	6	1	0.998
148	4.75	1.65	0.89	2.46	1.33	1.5	0.75	3	0	0.006
149	5	1.65	0.85	2.4	1.28	1.5	0.72	3	0	0.006
150	5.25	1.65	0.89	2.46	1.33	1.5	0.75	4	0	0.004
151	0.75	1.7	4.32	9.14	6.49	3	3.68	6	1	0.998
152	1	1.7	4.08	8.73	6.12	3	3.47	6	1	0.998
153	1.25	1.7	3.83	8.33	5.75	3	3.26	6	1	0.998
154	4.75	1.7	0.84	2.38	1.26	1.5	0.71	3	0	0.006
155	5	1.7	0.8	2.32	1.2	1.5	0.68	3	0	0.006
156	5.25	1.7	0.84	2.38	1.26	1.5	0.71	4	0	0.004
157	0.75	1.75	4.32	9.12	6.47	3	3.67	6	1	0.998
158	1	1.75	4.07	8.72	6.1	3	3.46	6	1	0.998
159	1.25	1.75	3.82	8.31	5.74	3	3.25	6	1	0.998
160	2.75	1.75	2.37	4.91	3.56	1.5	2.02	4	0	0
161	3	1.75	2.14	4.52	3.2	1.5	1.82	4	0	0
162	3.25	1.75	1.9	4.14	2.86	1.5	1.62	4	0	0
163	4.75	1.75	0.79	2.3	1.19	1.5	0.67	3	0	0.007
164	5	1.75	0.75	2.24	1.13	1.5	0.64	3	0	0.007
165	5.25	1.75	0.79	2.3	1.19	1.5	0.67	4	0	0.004
166	9.75	1.75	4.81	9.93	7.21	3	4.09	10	1	0.995
167	10	1.75	5.06	10.34	7.58	3	4.3	10	1	0.993
168	2.75	1.8	2.36	4.89	3.53	1.5	2	4	0	0
169	3	1.8	2.12	4.5	3.18	1.5	1.8	4	0	0
170	3.25	1.8	1.88	4.11	2.83	1.5	1.6	4	0	0
171	9.75	1.8	4.8	9.92	7.2	3	4.08	10	1	0.995
172	10	1.8	5.05	10.33	7.57	3	4.29	10	1	0.993
173	1.75	1.85	3.31	7.47	4.97	3	2.82	6	1	0.998
174	2	1.85	3.07	7.06	4.6	3	2.61	6	1	0.999
175	2.25	1.85	2.83	5.66	4.24	1.5	2.4	4	0	0
176	2.75	1.85	2.34	4.86	3.51	1.5	1.99	4	0	0
177	3	1.85	2.1	4.47	3.15	1.5	1.79	4	0	0
178	3.25	1.85	1.87	4.08	2.8	1.5	1.59	4	0	0
179	9.75	1.85	4.79	9.91	7.19	3	4.08	10	1	0.995
180	10	1.85	5.04	10.32	7.56	3	4.29	10	1	0.993
181	1.75	1.9	3.3	7.45	4.96	3	2.81	6	1	0.998
182	2	1.9	3.06	7.05	4.59	3	2.6	6	1	1
183	2.25	1.9	2.81	5.64	4.22	1.5	2.39	4	0	0
184	1.75	1.95	3.3	7.44	4.94	3	2.8	6	1	0.998
185	2	1.95	3.05	7.03	4.58	3	2.59	6	1	1
186	2.25	1.95	2.8	5.63	4.21	1.5	2.38	4	0	0
187	3.75	2.1	1.31	3.17	1.97	1.5	1.12	3	0	0.005
188	4	2.1	1.08	2.78	1.62	1.5	0.92	3	0	0.006
189	4.25	2.1	0.85	2.4	1.28	1.5	0.72	3	0	0.006
190	7.75	2.1	2.78	5.59	4.17	1.5	2.36	6	0	0
191	8	2.1	1.96	4.24	2.95	1.5	1.67	5	1	0.321
192	8.25	2.1	1.92	4.16	2.87	1.5	1.63	6	1	0.999
193	3.75	2.15	1.3	3.14	1.95	1.5	1.1	3	0	0.005
194	4	2.15	1.06	2.75	1.59	1.5	0.9	3	0	0.006
195	4.25	2.15	0.83	2.37	1.24	1.5	0.7	3	0	0.006
196	7.75	2.15	2	4.29	2.99	1.5	1.7	5	1	0.278
197	8	2.15	1.92	4.16	2.87	1.5	1.63	5	1	0.37
198	8.25	2.15	1.87	4.08	2.8	1.5	1.59	5	1	0.408
199	0.75	2.2	4.26	9.03	6.39	3	3.62	6	1	0.998
200	1	2.2	4.01	8.62	6.02	3	3.41	6	1	0.998
201	1.25	2.2	3.76	8.21	5.64	3	3.2	6	1	0.998
202	3.75	2.2	1.29	3.12	1.93	1.5	1.09	3	0	0.005
203	4	2.2	1.04	2.72	1.57	1.5	0.89	3	0	0.006
204	4.25	2.2	0.81	2.33	1.21	1.5	0.69	3	0	0.006
205	7.75	2.2	1.95	4.22	2.93	1.5	1.66	5	1	0.338
206	8	2.2	1.87	4.08	2.8	1.5	1.59	5	1	0.408
207	8.25	2.2	1.82	4	2.73	1.5	1.54	5	1	0.441
208	8.75	2.2	1.82	4	2.73	1.5	1.54	6	1	1
209	9	2.2	1.87	4.08	2.8	1.5	1.59	6	1	0.999
210	9.25	2.2	1.95	4.22	2.93	1.5	1.66	6	1	0.998
211	0.75	2.25	4.26	9.02	6.39	3	3.62	6	1	0.998
212	1	2.25	4.01	8.61	6.01	3	3.41	6	1	0.998
213	1.25	2.25	3.76	8.2	5.64	3	3.19	6	1	0.998
214	3.75	2.25	1.27	3.1	1.91	1.5	1.08	3	0	0.005
215	4	2.25	1.03	2.7	1.55	1.5	0.88	3	0	0.006
216	4.25	2.25	0.79	2.3	1.19	1.5	0.67	3	0	0.007
217	7.75	2.25	1.9	4.14	2.86	1.5	1.62	5	1	0.381
218	8	2.25	1.82	4	2.73	1.5	1.55	5	1	0.439
219	8.25	2.25	1.77	3.92	2.65	1.5	1.5	5	1	0.472
220	8.75	2.25	1.77	3.92	2.65	1.5	1.5	6	1	1
221	9	2.25	1.82	4	2.73	1.5	1.55	6	1	1
222	9.25	2.25	1.9	4.14	2.86	1.5	1.62	6	1	0.999
223	0.75	2.3	4.25	9.02	6.38	3	3.62	6	1	0.998
224	1	2.3	4	8.61	6.01	3	3.4	6	1	0.998
225	1.25	2.3	3.76	8.2	5.63	3	3.19	6	1	0.998
226	8.25	2.3	1.72	3.84	2.58	1.5	1.46	5	1	0.505
227	8.5	2.3	1.7	3.81	2.55	1.5	1.45	5	1	0.518
228	8.75	2.3	1.72	3.84	2.58	1.5	1.46	6	1	1
229	9	2.3	1.77	3.92	2.66	1.5	1.51	6	1	1
230	9.25	2.3	1.86	4.07	2.79	1.5	1.58	6	1	0.999
231	0.75	2.35	4.25	9.02	6.38	3	3.61	6	1	0.998
232	1	2.35	4	8.6	6	3	3.4	6	1	0.998
233	1.25	2.35	3.75	8.19	5.63	3	3.19	6	1	0.998
234	8.25	2.35	1.67	3.75	2.5	1.5	1.42	5	1	0.54
235	8.5	2.35	1.65	3.72	2.48	1.5	1.4	5	1	0.554
236	8.75	2.35	1.67	3.75	2.5	1.5	1.42	6	1	1
237	9	2.35	1.72	3.84	2.59	1.5	1.47	6	1	1
238	9.25	2.35	1.81	3.99	2.72	1.5	1.54	6	1	1
239	0.25	2.4	4.75	9.84	7.13	3	4.04	6	1	0.998
240	0.5	2.4	4.5	9.43	6.75	3	3.83	6	1	0.998
241	0.75	2.4	4.25	9.01	6.38	3	3.61	6	1	0.998
242	6.75	2.4	1.75	3.89	2.63	1.5	1.49	5	0	0.482
243	7	2.4	2	4.3	3	1.5	1.7	5	0	0.268
244	7.25	2.4	2.25	4.72	3.38	1.5	1.91	5	0	0.001
245	8.25	2.4	1.62	3.67	2.43	1.5	1.38	5	1	0.579
246	8.5	2.4	1.6	3.64	2.4	1.5	1.36	5	1	0.595
247	8.75	2.4	1.62	3.67	2.43	1.5	1.38	6	1	1
248	0.25	2.45	4.75	9.84	7.13	3	4.04	6	1	0.998
249	0.5	2.45	4.5	9.43	6.75	3	3.83	6	1	0.998
250	0.75	2.45	4.25	9.01	6.38	3	3.61	6	1	0.998
251	6.75	2.45	1.75	3.89	2.63	1.5	1.49	5	0	0.483
252	7	2.45	2	4.3	3	1.5	1.7	5	0	0.271
253	7.25	2.45	1.99	4.29	2.99	1.5	1.69	5	1	0.286
254	8.25	2.45	1.57	3.59	2.36	1.5	1.33	5	1	0.62
255	8.5	2.45	1.55	3.56	2.33	1.5	1.32	5	1	0.638
256	8.75	2.45	1.57	3.59	2.36	1.5	1.33	5	1	0.62
257	0.25	2.5	4.75	9.84	7.13	3	4.04	6	1	0.998
258	0.5	2.5	4.5	9.43	6.75	3	3.83	5	1	0.997
259	0.75	2.5	4.25	9.01	6.38	3	3.61	6	1	0.998
260	6.75	2.5	1.75	3.89	2.63	1.5	1.49	5	0	0.484
261	7	2.5	2	4.3	3	1.5	1.7	5	0	0.272
262	7.25	2.5	1.95	4.22	2.93	1.5	1.66	5	1	0.335
263	0.25	2.55	4.75	9.84	7.13	3	4.04	6	1	0.998
264	0.5	2.55	4.5	9.43	6.75	3	3.83	6	1	0.998
265	0.75	2.55	4.25	9.01	6.38	3	3.61	6	1	0.998
266	4.75	2.55	0.25	1.42	0.38	1.5	0.22	3	0	0.015
267	5	2.55	0.05	1.08	0.07	1.5	0.04	3	0	0.031
268	5.25	2.55	0.25	1.42	0.38	1.5	0.22	3	0	0.015
269	6.75	2.55	1.75	3.89	2.63	1.5	1.49	5	0	0.483
270	7	2.55	2	4.3	3	1.5	1.7	5	0	0.271
271	7.25	2.55	1.91	4.16	2.87	1.5	1.63	5	1	0.372
272	0.25	2.6	4.75	9.84	7.13	3	4.04	6	1	0.998
273	0.5	2.6	4.5	9.43	6.75	3	3.83	6	1	0.998
274	0.75	2.6	4.25	9.01	6.38	3	3.61	6	1	0.998
275	4.75	2.6	0.27	1.44	0.4	1.5	0.23	3	0	0.015
276	5	2.6	0.1	1.17	0.15	1.5	0.09	3	0	0.026
277	5.25	2.6	0.27	1.44	0.4	1.5	0.23	3	0	0.015
278	6.75	2.6	1.75	3.89	2.63	1.5	1.49	5	0	0.482
279	7	2.6	2	4.3	3	1.5	1.7	5	0	0.268
280	7.25	2.6	1.88	4.1	2.82	1.5	1.6	5	1	0.401
281	4.75	2.65	0.29	1.48	0.44	1.5	0.25	3	0	0.014
282	5	2.65	0.15	1.25	0.23	1.5	0.13	3	0	0.021
283	5.25	2.65	0.29	1.48	0.44	1.5	0.25	3	0	0.014
284	6.25	2.65	1.26	3.08	1.89	1.5	1.07	4	0	0.004
285	6.5	2.65	1.51	3.49	2.26	1.5	1.28	5	0	0.677
286	6.75	2.65	1.76	3.9	2.63	1.5	1.49	5	0	0.48
287	4.75	2.7	0.32	1.53	0.48	1.5	0.27	3	0	0.013
288	5	2.7	0.2	1.33	0.3	1.5	0.17	3	0	0.018
289	5.25	2.7	0.32	1.53	0.48	1.5	0.27	3	0	0.013
290	6.25	2.7	1.27	3.09	1.9	1.5	1.08	4	0	0.004
291	6.5	2.7	1.51	3.5	2.27	1.5	1.29	5	0	0.672
292	6.75	2.7	1.76	3.91	2.64	1.5	1.5	5	0	0.476
293	0.75	2.75	4.26	9.02	6.39	3	3.62	6	1	0.998
294	1	2.75	4.01	8.61	6.01	3	3.41	6	1	0.998
295	1.25	2.75	3.76	8.2	5.64	3	3.19	6	1	0.998
296	1.75	2.75	3.26	7.38	4.89	3	2.77	6	1	0.998
297	2	2.75	3.01	6.97	4.52	3	2.56	6	1	1
298	2.25	2.75	2.76	5.56	4.14	1.5	2.35	4	0	0
299	6.25	2.75	1.27	3.1	1.91	1.5	1.08	4	0	0.004
300	6.5	2.75	1.52	3.51	2.28	1.5	1.29	5	0	0.665
301	6.75	2.75	1.77	3.92	2.65	1.5	1.5	5	0	0.472
302	0.75	2.8	4.26	9.03	6.39	3	3.62	6	1	0.998
303	1	2.8	4.01	8.62	6.02	3	3.41	6	1	0.998
304	1.25	2.8	3.76	8.21	5.64	3	3.2	6	1	0.998
305	1.75	2.8	3.26	7.39	4.9	3	2.77	6	1	0.998
306	2	2.8	3.01	6.97	4.52	3	2.56	6	1	1
307	2.25	2.8	2.77	5.56	4.15	1.5	2.35	4	0	0
308	6.25	2.8	1.29	3.12	1.93	1.5	1.09	4	0	0.004
309	6.5	2.8	1.53	3.52	2.29	1.5	1.3	5	0	0.656
310	6.75	2.8	1.78	3.93	2.66	1.5	1.51	5	0	0.467
311	0.75	2.85	4.26	9.04	6.4	3	3.62	6	1	0.998
312	1	2.85	4.02	8.63	6.02	3	3.41	6	1	0.998
313	1.25	2.85	3.77	8.21	5.65	3	3.2	6	1	0.998
314	1.75	2.85	3.27	7.39	4.9	3	2.78	6	1	0.998
315	2	2.85	3.02	6.98	4.53	3	2.57	6	1	1
316	2.25	2.85	2.77	5.57	4.16	1.5	2.36	4	0	0
317	5.75	2.85	0.83	2.37	1.24	1.5	0.7	4	0	0.004
318	6	2.85	1.06	2.75	1.59	1.5	0.9	4	0	0.004
319	6.25	2.85	1.3	3.14	1.95	1.5	1.1	4	0	0.004
320	7.75	2.85	1.37	3.27	2.06	1.5	1.17	5	1	0.803
321	8	2.85	1.25	3.07	1.88	1.5	1.07	5	1	0.897
322	8.25	2.85	1.18	2.94	1.77	1.5	1	5	1	0.94
323	0.75	2.9	4.27	9.04	6.4	3	3.63	6	1	0.998
324	1	2.9	4.02	8.63	6.03	3	3.42	6	1	0.998
325	1.25	2.9	3.77	8.22	5.66	3	3.21	6	1	0.998
326	1.75	2.9	3.27	7.4	4.91	3	2.78	6	1	0.998
327	2	2.9	3.03	6.99	4.54	3	2.57	6	1	1
328	2.25	2.9	2.78	5.59	4.17	1.5	2.36	4	0	0
329	5.75	2.9	0.85	2.4	1.28	1.5	0.72	4	0	0.004
330	6	2.9	1.08	2.78	1.62	1.5	0.92	4	0	0.004
331	6.25	2.9	1.31	3.17	1.97	1.5	1.12	4	0	0.004
332	7.75	2.9	1.33	3.2	2	1.5	1.13	5	1	0.839
333	8	2.9	1.21	2.99	1.81	1.5	1.03	5	1	0.924
334	8.25	2.9	1.13	2.86	1.69	1.5	0.96	5	1	0.959
335	0	2.95	5.02	10.28	7.53	3	4.27	7	1	0.993
336	0.25	2.95	4.77	9.87	7.16	3	4.06	7	1	0.995
337	5.75	2.95	0.87	2.44	1.31	1.5	0.74	4	0	0.004
338	6	2.95	1.1	2.81	1.64	1.5	0.93	4	0	0.004
339	6.25	2.95	1.33	3.19	1.99	1.5	1.13	5	0	0.842
340	7.75	2.95	1.29	3.13	1.94	1.5	1.1	5	1	0.872
341	8	2.95	1.16	2.92	1.74	1.5	0.99	5	1	0.946
342	8.25	2.95	1.08	2.78	1.62	1.5	0.92	5	1	0.973
343	9.25	2.95	1.29	3.13	1.94	1.5	1.1	6	1	1
344	9.5	2.95	1.45	3.39	2.18	1.5	1.23	6	1	1
345	9.75	2.95	1.63	3.69	2.45	1.5	1.39	6	1	1
346	0	3	5.02	10.29	7.54	3	4.27	8	1	0.991
347	0.25	3	4.78	9.88	7.16	3	4.06	7	1	0.995
348	9.25	3	1.25	3.06	1.88	1.5	1.06	6	1	1
349	9.5	3	1.41	3.33	2.12	1.5	1.2	6	1	1
350	9.75	3	1.6	3.64	2.4	1.5	1.36	6	1	1
351	0	3.05	5.03	10.3	7.55	3	4.28	7	1	0.993
352	0.25	3.05	4.78	9.89	7.17	3	4.06	7	1	0.995
353	3.25	3.05	1.83	4.03	2.75	1.5	1.56	4	0	0
354	3.5	3.05	1.6	3.64	2.4	1.5	1.36	4	0	0.002
355	3.75	3.05	1.37	3.25	2.05	1.5	1.16	4	0	0.004
356	7.25	3.05	1.57	3.59	2.36	1.5	1.33	5	1	0.62
357	7.5	3.05	1.38	3.28	2.07	1.5	1.17	5	1	0.798
358	7.75	3.05	1.21	3	1.82	1.5	1.03	5	1	0.923
359	9.25	3.05	1.21	3	1.82	1.5	1.03	6	1	1
360	9.5	3.05	1.38	3.28	2.07	1.5	1.17	6	1	1
361	9.75	3.05	1.57	3.59	2.36	1.5	1.33	6	1	1
362	0	3.1	5.04	10.31	7.55	3	4.28	7	1	0.993
363	0.25	3.1	4.79	9.9	7.18	3	4.07	7	1	0.995
364	3.25	3.1	1.85	4.05	2.78	1.5	1.57	4	0	0
365	3.5	3.1	1.62	3.67	2.42	1.5	1.37	4	0	0.001
366	3.75	3.1	1.39	3.29	2.08	1.5	1.18	4	0	0.004
367	7.25	3.1	1.54	3.54	2.31	1.5	1.31	5	1	0.647
368	7.5	3.1	1.35	3.22	2.02	1.5	1.14	5	1	0.828
369	7.75	3.1	1.17	2.93	1.76	1.5	1	5	1	0.942
370	9.25	3.1	1.17	2.93	1.76	1.5	1	5	1	0.942
371	9.5	3.1	1.35	3.22	2.02	1.5	1.14	6	1	1
372	9.75	3.1	1.54	3.54	2.31	1.5	1.31	6	1	1
373	3.25	3.15	1.87	4.08	2.8	1.5	1.59	4	0	0
374	3.5	3.15	1.63	3.7	2.45	1.5	1.39	4	0	0.001
375	3.75	3.15	1.41	3.32	2.11	1.5	1.2	4	0	0.004
376	4.75	3.15	0.7	2.15	1.04	1.5	0.59	4	0	0.004
377	5	3.15	0.65	2.07	0.98	1.5	0.55	4	0	0.005
378	5.25	3.15	0.7	2.15	1.04	1.5	0.59	4	0	0.004
379	7.25	3.15	1.51	3.49	2.27	1.5	1.28	5	1	0.673
380	7.5	3.15	1.31	3.17	1.97	1.5	1.12	5	1	0.855
381	7.75	3.15	1.13	2.87	1.7	1.5	0.96	5	1	0.957
382	4.75	3.2	0.74	2.23	1.11	1.5	0.63	4	0	0.004
383	5	3.2	0.7	2.16	1.05	1.5	0.6	4	0	0.004
